warehouse_code,pos_user_name,sale_journal_code
001,Usuario - Suc. Gaucho,V001
002,Usuario - Suc. Centro,V002
003,Usuario - Suc. Sayago,V003
004,Usuario - Suc. Unión,V004
005,Usuario - Suc. Sarandí,V005
006,Usuario - Suc. Geant,V006
007,Usuario - Suc. San Martín,V007
008,Usuario - Suc. Piria,V008
009,Usuario - Suc. Pando,V009
011,Usuario - Suc. Costa Urbana,V011
012,Usuario - Suc. (F) Cordon,V012
013,Usuario - Suc. (F) Portones,V013
014,Usuario - Suc. (F) Colon,V014
015,Usuario - Suc. (F) Las Piedras Centro,V015
017,Usuario - Suc. (F) Maldonado,V017
019,Usuario - Suc. (F) Canelones,V019
021,Usuario - Suc. Paso Molino,V021
024,Usuario - Suc. (F) Las Piedras Shopping,V024
025,Usuario - Suc. (F) San Carlos,V025
026,Usuario - Suc. (F) Pan de Azucar,V026
027,Usuario - Suc. (F) San José,V027
028,Usuario - Suc. Unión 2,V028
029,Usuario - Suc. Pando 2,V029
030,Usuario - Suc. Durazno,V030
031,Usuario - Suc. Salto,V031
032,Usuario - Suc. Paysandú,V032
033,Usuario - Suc. Tres Cruces,V033
034,Usuario - Suc. Colonia,V034
035,Usuario - Suc. Punta del Este,V035
037,Usuario - Suc. Santa Lucía,V037
038,Usuario - Suc. Florida,V038
039,Usuario - Suc. Minas,V039
040,Usuario - Suc. Treinta y Tres,V040
041,Usuario - Suc. Atlántico Shopping,V041
042,Usuario - Suc. Carmelo,V042
043,Usuario - Suc. Tacuarembo,V043
045,Usuario - Suc. Melo,V045
046,Usuario - Suc. Nuevo Centro,V046
